nombre_ciudad,nombre_pais
Nueva York,Estados Unidos
Nueva York,Estados Unidos
Milan,Italia
Nueva York,Estados Unidos
Roma,Italia
Tel Aviv,China
El Cairo,Egipto
Santiago,Chile
Milan,Italia
Nueva York,Estados Unidos
Beijing,China
Amsterdam,Paises Bajos
Caracas,Venezuela
Nueva York,Estados Unidos
Seul,Corea del Sur
San Francisco,Estados Unidos
Estambul,Turquia
Estambul,Turquia
San Francisco,Estados Unidos
Sidney,Australia
Ibiza,España
Atenas,Grecia
Sidney,Australia
Toronto,Canada
Milan,Italia
Nueva York,Estados Unidos
Caracas,Venezuela
Shangai,China
Miami,Estados Unidos
Toronto,Canada
Nueva Delhi,India
Estambul,Turquia
Tel Aviv,China
Sidney,Australia
Buenos Aires,Argentina
Amsterdam,Paises Bajos
Buenos Aires,Argentina
Buenos Aires,Argentina
Hong Kong,Hong Kong
Shangai,China
Rio de Janeiro,Brasil
Ibiza,España
San Francisco,Estados Unidos
Sidney,Australia
Sidney,Australia
Montevideo,Uruguay
Buenos Aires,Argentina
Madrid,España
Nueva York,Estados Unidos
Londres,Inglaterra
San Francisco,Estados Unidos
Nueva Delhi,India
Toronto,Canada
La Paz,Bolivia
Santiago,Chile
El Cairo,Egipto
Milan,Italia
Ibiza,España
Lima,Peru
Ciudad del Cabo,Sudafrica
Montevideo,Uruguay
Paris,Francia
Atenas,Grecia
Barcelona,España
Seul,Corea del Sur
Melbourne,Australia
San Francisco,Estados Unidos
Nueva Delhi,India
Rio de Janeiro,Brasil
Miami,Estados Unidos
La Paz,Bolivia
Milan,Italia
Santiago,Chile
Sao Pablo,Brasil
La Paz,Bolivia
Shangai,China
Ciudad del Cabo,Sudafrica
Rio de Janeiro,Brasil
Tel Aviv,China
Ciudad del Cabo,Sudafrica
Buenos Aires,Argentina
Ciudad del Cabo,Sudafrica
Caracas,Venezuela
Nueva York,Estados Unidos
Santiago,Chile
Estambul,Turquia
Sidney,Australia
Paris,Francia
Chicago,Estados Unidos
Cancun,Mexico
Atenas,Grecia
Amsterdam,Paises Bajos
Sidney,Australia
Madrid,España
Sao Pablo,Brasil
Rio de Janeiro,Brasil
Londres,Inglaterra
Milan,Italia
San Francisco,Estados Unidos
Santiago,Chile
Sao Pablo,Brasil
Estambul,Turquia
Milan,Italia
Chicago,Estados Unidos
Tel Aviv,China
Atenas,Grecia
Rio de Janeiro,Brasil
Beijing,China
Sidney,Australia
Estambul,Turquia
Lima,Peru
Montevideo,Uruguay
Ciudad del Cabo,Sudafrica
Seul,Corea del Sur
Ciudad del Cabo,Sudafrica
Santiago,Chile
Melbourne,Australia
Santiago,Chile
San Francisco,Estados Unidos
Nueva York,Estados Unidos
Nueva York,Estados Unidos
Sidney,Australia
Caracas,Venezuela
Ciudad del Cabo,Sudafrica
Montevideo,Uruguay
Paris,Francia
Estambul,Turquia
Tokio,Japon
Seul,Corea del Sur
Milan,Italia
Caracas,Venezuela
Ibiza,España
